Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Tasa_aprobacion_1sem,Target_encoded,Application order_outlier,Age at enrollment_outlier,Curricular units 1st sem (credited)_outlier,Curricular units 1st sem (enrolled)_outlier,Curricular units 1st sem (evaluations)_outlier,Curricular units 1st sem (approved)_outlier,Curricular units 1st sem (grade)_outlier,Curricular units 1st sem (without evaluations)_outlier,Curricular units 2nd sem (credited)_outlier,Curricular units 2nd sem (enrolled)_outlier,Curricular units 2nd sem (evaluations)_outlier,Curricular units 2nd sem (approved)_outlier,Curricular units 2nd sem (grade)_outlier,Curricular units 2nd sem (without evaluations)_outlier,Application order_zscore,Age at enrollment_zscore,Curricular units 1st sem (credited)_zscore,Curricular units 1st sem (enrolled)_zscore,Curricular units 1st sem (evaluations)_zscore,Curricular units 1st sem (approved)_zscore,Curricular units 1st sem (grade)_zscore,Curricular units 1st sem (without evaluations)_zscore,Curricular units 2nd sem (credited)_zscore,Curricular units 2nd sem (enrolled)_zscore,Curricular units 2nd sem (evaluations)_zscore,Curricular units 2nd sem (approved)_zscore,Curricular units 2nd sem (grade)_zscore,Curricular units 2nd sem (without evaluations)_zscore,Unemployment rate_zscore,Inflation rate_zscore,GDP_zscore,Tasa_aprobacion_1sem_zscore
1,8,5,2,1,1,1,13,10,6,10,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2.4906143536799465,-0.4303141814613389,-0.3007790584692037,-2.528273848501518,-1.9858437399109086,-1.5210854473866622,-2.1968540624918433,-0.19925050839486966,-0.28241038748618436,-2.83801576742559,-2.042399021378109,-1.471360559318579,-1.9632666971729593,-0.19941844907550824,-0.28760594673799583,0.12437241424395824,0.7656742839038984,-1.9107216702031449
1,6,1,11,1,1,1,1,3,4,4,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.5621044160605055,-0.3007790584692037,-0.10909281556743866,-0.5501298291879028,0.41800263807254256,0.6935202058540814,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,-0.5226232974641002,0.5188450402815208,0.6594871608896781,-0.19941844907550824,0.8761230306454858,-1.1050966355009952,0.34716017872948746,0.827153161323226
1,1,5,5,1,1,1,22,27,10,10,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.4906143536799465,-0.5621044160605055,-0.3007790584692037,-0.10909281556743866,-1.9858437399109086,-1.5210854473866622,-2.1968540624918433,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,-2.042399021378109,-1.471360559318579,-1.9632666971729593,-0.19941844907550824,-0.28760594673799583,0.12437241424395824,0.7656742839038984,-1.9107216702031449
1,8,2,15,1,1,1,23,27,6,4,1,0,0,1,0,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20714974314939588,-0.4303141814613389,-0.3007790584692037,-0.10909281556743866,-0.07155852561356744,0.41800263807254256,0.5755457459215947,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,0.49056051847857246,0.18714410701483747,0.41640265697167766,-0.19941844907550824,-0.813160968782149,-1.4667051795436286,-1.3753557699357195,0.827153161323226
2,12,1,3,0,1,1,22,28,10,10,0,0,0,1,0,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,0.8333333333333334,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,2.864441683517828,-0.3007790584692037,-0.10909281556743866,0.1677271261736002,0.09482129049600846,0.34942803105099524,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,-0.5226232974641002,0.5188450402815208,0.5315479483012568,-0.19941844907550824,0.8761230306454858,-1.1050966355009952,0.34716017872948746,0.3708406894021643
2,12,1,17,0,12,1,22,27,10,8,0,0,1,1,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,3.523392856513661,-0.3007790584692037,-0.5122896543897852,0.40701277796076785,0.09482129049600846,0.2511159811072563,-0.19925050839486966,-0.28241038748618436,-0.5610976732159475,2.2636321963782495,0.18714410701483747,0.2436847199773088,6.433868909646661,1.7395348525751653,-0.6711663826498351,-0.40616521058445215,0.827153161323226
1,1,1,12,1,1,1,13,28,8,11,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.6938946506596722,-0.3007790584692037,0.2941040232549079,0.1677271261736002,0.7411839856490767,0.5490014924367853,-0.19925050839486966,-0.28241038748618436,0.8050531833098381,-0.016031389492763892,1.1822469068148873,0.789665309698397,-0.19941844907550824,1.476757341553089,1.1368763375633317,-1.7894644634767152,0.827153161323226
1,9,4,11,1,1,1,22,27,10,10,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.7294594835030963,-0.1667337122630055,-0.3007790584692037,-0.5122896543897852,-0.7894154809750703,-1.5210854473866622,-2.1968540624918433,-0.19925050839486966,-0.28241038748618436,-0.5610976732159475,-0.7759192514497684,-1.471360559318579,-1.9632666971729593,-0.19941844907550824,1.476757341553089,1.1368763375633317,-1.7894644634767152,-1.9107216702031449
1,1,3,10,1,1,15,1,1,10,10,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9683046133262462,-0.2985239468621722,-0.3007790584692037,-0.10909281556743866,-0.07155852561356744,0.41800263807254256,0.6677132927438499,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,-0.26932734347843207,0.5188450402815208,0.7508723127385505,-0.19941844907550824,1.7395348525751653,-0.6711663826498351,-0.40616521058445215,0.827153161323226
1,1,1,10,1,1,1,1,14,5,8,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.6938946506596722,-0.3007790584692037,-0.10909281556743866,0.1677271261736002,0.09482129049600846,0.15673641316126688,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,1.503744334421245,-0.8079586927852125,0.6275023577425728,-0.19941844907550824,-1.0008591909407751,0.12437241424395824,1.5454321430183269,0.3708406894021643
